uni97C7	U+97C7	韇
uni97C8	U+97C8	韈
uni97C9	U+97C9	韉
uni97CA	U+97CA	韊
uni97CC	U+97CC	韌
uni97CD	U+97CD	韍
uni97CE	U+97CE	韎
uni97CF	U+97CF	韏
uni97D0	U+97D0	韐
uni97D1	U+97D1	韑
uni97D2	U+97D2	韒
uni97D3	U+97D3	韓
uni97D4	U+97D4	韔
uni97D5	U+97D5	韕
uni97D6	U+97D6	韖
uni97D7	U+97D7	韗
uni97D8	U+97D8	韘
uni97D9	U+97D9	韙
uni97DA	U+97DA	韚
uni97DB	U+97DB	韛
uni97DC	U+97DC	韜
uni97DD	U+97DD	韝
uni97DE	U+97DE	韞
uni97DF	U+97DF	韟
uni97E0	U+97E0	韠
uni97E1	U+97E1	韡
uni97E2	U+97E2	韢
uni97E3	U+97E3	韣
uni97E4	U+97E4	韤
uni97E5	U+97E5	韥
uni97E7	U+97E7	韧
uni97E8	U+97E8	韨
uni97E9	U+97E9	韩
uni97EA	U+97EA	韪
uni97EB	U+97EB	韫
uni97EC	U+97EC	韬
uni97EE	U+97EE	韮
uni97EF	U+97EF	韯
uni97F0	U+97F0	韰
uni97F1	U+97F1	韱
uni97F2	U+97F2	韲
uni97F4	U+97F4	韴
uni97F5	U+97F5	韵
uni97F6	U+97F6	韶
uni97F7	U+97F7	韷
uni97F8	U+97F8	韸
uni97F9	U+97F9	韹
uni97FA	U+97FA	韺
uni97FB	U+97FB	韻
uni97FC	U+97FC	韼
uni97FD	U+97FD	韽
uni97FE	U+97FE	韾
uni97FF	U+97FF	響
uni9800	U+9800	頀
uni9802	U+9802	頂
uni9803	U+9803	頃
uni9804	U+9804	頄
uni9805	U+9805	項
uni9806	U+9806	順
uni9807	U+9807	頇
uni9808	U+9808	須
uni9809	U+9809	頉
uni980A	U+980A	頊
uni980B	U+980B	頋
uni980C	U+980C	頌
uni980D	U+980D	頍
uni980E	U+980E	頎
uni980F	U+980F	頏
uni9810	U+9810	預
uni9811	U+9811	頑
uni9812	U+9812	頒
uni9813	U+9813	頓
uni9814	U+9814	頔
uni9815	U+9815	頕
uni9816	U+9816	頖
uni9817	U+9817	頗
uni9818	U+9818	領
uni9819	U+9819	頙
uni981A	U+981A	頚
uni981B	U+981B	頛
uni981C	U+981C	頜
uni981D	U+981D	頝
uni981E	U+981E	頞
uni981F	U+981F	頟
uni9820	U+9820	頠
uni9821	U+9821	頡
uni9822	U+9822	頢
uni9823	U+9823	頣
uni9824	U+9824	頤
uni9825	U+9825	頥
uni9826	U+9826	頦
uni9827	U+9827	頧
uni9828	U+9828	頨
uni9829	U+9829	頩
uni982A	U+982A	頪
uni982B	U+982B	頫
uni982C	U+982C	頬
uni982D	U+982D	頭
uni982E	U+982E	頮
uni982F	U+982F	頯
uni9830	U+9830	頰
uni9831	U+9831	頱
uni9832	U+9832	頲
uni9833	U+9833	頳
uni9834	U+9834	頴
uni9835	U+9835	頵
uni9836	U+9836	頶
uni9837	U+9837	頷
uni9838	U+9838	頸
uni9839	U+9839	頹
uni983A	U+983A	頺
uni983B	U+983B	頻
uni983C	U+983C	頼
uni983D	U+983D	頽
uni983E	U+983E	頾
uni983F	U+983F	頿
uni9840	U+9840	顀
uni9841	U+9841	顁
uni9842	U+9842	顂
uni9843	U+9843	顃
uni9844	U+9844	顄
uni9845	U+9845	顅
uni9846	U+9846	顆
uni9847	U+9847	顇
uni9848	U+9848	顈
uni9849	U+9849	顉
uni984A	U+984A	顊
uni984B	U+984B	顋
uni984C	U+984C	題
uni984D	U+984D	額
uni984E	U+984E	顎
uni984F	U+984F	顏
uni9850	U+9850	顐
uni9851	U+9851	顑
uni9852	U+9852	顒
uni9853	U+9853	顓
uni9854	U+9854	顔
uni9855	U+9855	顕
uni9856	U+9856	顖
uni9857	U+9857	顗
uni9858	U+9858	願
uni9859	U+9859	顙
uni985A	U+985A	顚
uni985B	U+985B	顛
uni985C	U+985C	顜
uni985D	U+985D	顝
uni985E	U+985E	類
uni985F	U+985F	顟
uni9860	U+9860	顠
uni9861	U+9861	顡
uni9862	U+9862	顢
uni9863	U+9863	顣
uni9864	U+9864	顤
uni9865	U+9865	顥
uni9866	U+9866	顦
uni9867	U+9867	顧
uni9868	U+9868	顨
uni9869	U+9869	顩
uni986A	U+986A	顪
uni986B	U+986B	顫
uni986C	U+986C	顬
uni986D	U+986D	顭
uni986E	U+986E	顮
uni986F	U+986F	顯
uni9870	U+9870	顰
uni9871	U+9871	顱
uni9872	U+9872	顲
uni9873	U+9873	顳
uni9874	U+9874	顴
uni9876	U+9876	顶
uni9877	U+9877	顷
uni9878	U+9878	顸
uni9879	U+9879	项
uni987A	U+987A	顺
uni987B	U+987B	须
uni987C	U+987C	顼
uni987D	U+987D	顽
uni987E	U+987E	顾
uni987F	U+987F	顿
uni9880	U+9880	颀
uni9881	U+9881	颁
uni9882	U+9882	颂
uni9883	U+9883	颃
uni9884	U+9884	预
uni9885	U+9885	颅
uni9886	U+9886	领
uni9887	U+9887	颇
uni9888	U+9888	颈
uni9889	U+9889	颉
uni988A	U+988A	颊
uni988B	U+988B	颋
uni988C	U+988C	颌
uni988D	U+988D	颍
uni988E	U+988E	颎
uni988F	U+988F	颏
uni9890	U+9890	颐
uni9891	U+9891	频
uni9892	U+9892	颒
uni9893	U+9893	颓
uni9894	U+9894	颔
uni9895	U+9895	颕
uni9896	U+9896	颖
uni9897	U+9897	颗
uni9898	U+9898	题
uni9899	U+9899	颙
uni989A	U+989A	颚
uni989B	U+989B	颛
uni989C	U+989C	颜
uni989D	U+989D	额
uni989E	U+989E	颞
uni989F	U+989F	颟
uni98A0	U+98A0	颠
uni98A1	U+98A1	颡
uni98A2	U+98A2	颢
uni98A3	U+98A3	颣
uni98A4	U+98A4	颤
uni98A5	U+98A5	颥
uni98A6	U+98A6	颦
uni98A7	U+98A7	颧
uni98A9	U+98A9	颩
uni98AA	U+98AA	颪
uni98AB	U+98AB	颫
uni98AC	U+98AC	颬
uni98AD	U+98AD	颭
uni98AE	U+98AE	颮
uni98AF	U+98AF	颯
uni98B0	U+98B0	颰
uni98B1	U+98B1	颱
uni98B2	U+98B2	颲
uni98B3	U+98B3	颳
uni98B4	U+98B4	颴
uni98B5	U+98B5	颵
uni98B6	U+98B6	颶
uni98B7	U+98B7	颷
uni98B8	U+98B8	颸
uni98B9	U+98B9	颹
uni98BA	U+98BA	颺
uni98BB	U+98BB	颻
uni98BC	U+98BC	颼
uni98BD	U+98BD	颽
uni98BE	U+98BE	颾
uni98BF	U+98BF	颿
uni98C0	U+98C0	飀
uni98C1	U+98C1	飁
uni98C2	U+98C2	飂
uni98C3	U+98C3	飃
uni98C4	U+98C4	飄
uni98C5	U+98C5	飅
uni98C6	U+98C6	飆
uni98C7	U+98C7	飇
uni98C8	U+98C8	飈
uni98C9	U+98C9	飉
uni98CA	U+98CA	飊
uni98CB	U+98CB	飋
uni98CC	U+98CC	飌
uni98CD	U+98CD	飍
uni98CF	U+98CF	飏
uni98D0	U+98D0	飐
uni98D1	U+98D1	飑
uni98D2	U+98D2	飒
uni98D3	U+98D3	飓
uni98D4	U+98D4	飔
uni98D5	U+98D5	飕
uni98D6	U+98D6	飖
uni98D7	U+98D7	飗
uni98D8	U+98D8	飘
uni98D9	U+98D9	飙
uni98DA	U+98DA	飚
uni98DC	U+98DC	飜
uni98DD	U+98DD	飝
uni98E1	U+98E1	飡
uni98E2	U+98E2	飢
uni98E3	U+98E3	飣
uni98E4	U+98E4	飤
uni98E5	U+98E5	飥
uni98E6	U+98E6	飦
uni98E7	U+98E7	飧
uni98E8	U+98E8	飨
uni98E9	U+98E9	飩
uni98EA	U+98EA	飪
uni98EB	U+98EB	飫
uni98EC	U+98EC	飬
uni98ED	U+98ED	飭
uni98EE	U+98EE	飮
uni98EF	U+98EF	飯
uni98F0	U+98F0	飰
uni98F1	U+98F1	飱
uni98F2	U+98F2	飲
uni98F3	U+98F3	飳
uni98F4	U+98F4	飴
uni98F5	U+98F5	飵
uni98F6	U+98F6	飶
uni98F7	U+98F7	飷
uni98F8	U+98F8	飸
uni98F9	U+98F9	飹
uni98FA	U+98FA	飺
uni98FB	U+98FB	飻
uni98FC	U+98FC	飼
uni98FD	U+98FD	飽
uni98FE	U+98FE	飾
uni98FF	U+98FF	飿
uni9900	U+9900	餀
uni9901	U+9901	餁
uni9902	U+9902	餂
uni9903	U+9903	餃
uni9904	U+9904	餄
uni9905	U+9905	餅
uni9906	U+9906	餆
uni9907	U+9907	餇
uni9908	U+9908	餈
uni9909	U+9909	餉
uni990A	U+990A	養
uni990B	U+990B	餋
uni990C	U+990C	餌
uni990D	U+990D	餍
uni990E	U+990E	餎
uni990F	U+990F	餏
uni9910	U+9910	餐
uni9911	U+9911	餑
uni9912	U+9912	餒
uni9913	U+9913	餓
uni9914	U+9914	餔
uni9915	U+9915	餕
uni9916	U+9916	餖
uni9917	U+9917	餗
uni9918	U+9918	餘
uni9919	U+9919	餙
uni991A	U+991A	餚
uni991B	U+991B	餛
uni991C	U+991C	餜
uni991D	U+991D	餝
uni991E	U+991E	餞
uni991F	U+991F	餟
uni9920	U+9920	餠
uni9921	U+9921	餡
uni9922	U+9922	餢
uni9923	U+9923	餣
uni9924	U+9924	餤
uni9925	U+9925	餥
uni9926	U+9926	餦
uni9927	U+9927	餧
uni9928	U+9928	館
uni9929	U+9929	餩
uni992A	U+992A	餪
uni992B	U+992B	餫
uni992C	U+992C	餬
uni992D	U+992D	餭
uni992E	U+992E	餮
uni992F	U+992F	餯
uni9930	U+9930	餰
uni9931	U+9931	餱
uni9932	U+9932	餲
uni9933	U+9933	餳
uni9934	U+9934	餴
uni9935	U+9935	餵
uni9936	U+9936	餶
uni9937	U+9937	餷
uni9938	U+9938	餸
uni9939	U+9939	餹
uni993A	U+993A	餺
uni993B	U+993B	餻
uni993C	U+993C	餼
uni993D	U+993D	餽
uni993E	U+993E	餾
uni993F	U+993F	餿
uni9940	U+9940	饀
uni9941	U+9941	饁
uni9942	U+9942	饂
uni9943	U+9943	饃
uni9944	U+9944	饄
uni9945	U+9945	饅
uni9946	U+9946	饆
uni9947	U+9947	饇
uni9948	U+9948	饈
uni9949	U+9949	饉
uni994A	U+994A	饊
uni994B	U+994B	饋
uni994C	U+994C	饌
uni994D	U+994D	饍
uni994E	U+994E	饎
uni994F	U+994F	饏
uni9950	U+9950	饐
uni9951	U+9951	饑
uni9952	U+9952	饒
uni9953	U+9953	饓
uni9954	U+9954	饔
uni9955	U+9955	饕
uni9956	U+9956	饖
uni9957	U+9957	饗
uni9958	U+9958	饘
uni9959	U+9959	饙
uni995A	U+995A	饚
uni995B	U+995B	饛
uni995C	U+995C	饜
uni995D	U+995D	饝
uni995E	U+995E	饞
uni995F	U+995F	饟
uni9960	U+9960	饠
uni9961	U+9961	饡
uni9962	U+9962	饢
uni9964	U+9964	饤
uni9965	U+9965	饥
uni9966	U+9966	饦
uni9967	U+9967	饧
uni9968	U+9968	饨
uni9969	U+9969	饩
uni996A	U+996A	饪
uni996B	U+996B	饫
uni996C	U+996C	饬
uni996D	U+996D	饭
uni996E	U+996E	饮
uni996F	U+996F	饯
uni9970	U+9970	饰
uni9971	U+9971	饱
uni9972	U+9972	饲
uni9973	U+9973	饳
uni9974	U+9974	饴
uni9975	U+9975	饵
uni9976	U+9976	饶
uni9977	U+9977	饷
uni9978	U+9978	饸
uni9979	U+9979	饹
uni997A	U+997A	饺
uni997B	U+997B	饻
uni997C	U+997C	饼
uni997D	U+997D	饽
uni997E	U+997E	饾
uni997F	U+997F	饿
uni9980	U+9980	馀
uni9981	U+9981	馁
uni9982	U+9982	馂
uni9983	U+9983	馃
uni9984	U+9984	馄
uni9985	U+9985	馅
uni9986	U+9986	馆
uni9987	U+9987	馇
uni9988	U+9988	馈
uni9989	U+9989	馉
uni998A	U+998A	馊
uni998B	U+998B	馋
uni998C	U+998C	馌
uni998D	U+998D	馍
uni998E	U+998E	馎
uni998F	U+998F	馏
uni9990	U+9990	馐
uni9991	U+9991	馑
uni9992	U+9992	馒
uni9993	U+9993	馓
uni9994	U+9994	馔
uni9995	U+9995	馕
uni9997	U+9997	馗
uni9998	U+9998	馘
uni999A	U+999A	馚
uni999B	U+999B	馛
uni999C	U+999C	馜
uni999D	U+999D	馝
uni999E	U+999E	馞
uni999F	U+999F	馟
uni99A0	U+99A0	馠
uni99A1	U+99A1	馡
uni99A2	U+99A2	馢
uni99A3	U+99A3	馣
uni99A4	U+99A4	馤
uni99A5	U+99A5	馥
uni99A6	U+99A6	馦
uni99A7	U+99A7	馧
uni99A8	U+99A8	馨
uni99A9	U+99A9	馩
uni99AA	U+99AA	馪
uni99AB	U+99AB	馫
uni99AD	U+99AD	馭
uni99AE	U+99AE	馮
uni99AF	U+99AF	馯
uni99B0	U+99B0	馰
uni99B1	U+99B1	馱
uni99B2	U+99B2	馲
uni99B3	U+99B3	馳
uni99B4	U+99B4	馴
uni99B5	U+99B5	馵
uni99B6	U+99B6	馶
uni99B7	U+99B7	馷
uni99B8	U+99B8	馸
uni99B9	U+99B9	馹
uni99BA	U+99BA	馺
uni99BB	U+99BB	馻
uni99BC	U+99BC	馼
uni99BD	U+99BD	馽
uni99BE	U+99BE	馾
uni99BF	U+99BF	馿
uni99C0	U+99C0	駀
uni99C1	U+99C1	駁
uni99C2	U+99C2	駂
uni99C3	U+99C3	駃
uni99C4	U+99C4	駄
uni99C5	U+99C5	駅
uni99C6	U+99C6	駆
uni99C7	U+99C7	駇
uni99C8	U+99C8	駈
uni99C9	U+99C9	駉
uni99CA	U+99CA	駊
uni99CB	U+99CB	駋
uni99CC	U+99CC	駌
uni99CD	U+99CD	駍
uni99CE	U+99CE	駎
uni99CF	U+99CF	駏
uni99D0	U+99D0	駐
uni99D1	U+99D1	駑
uni99D2	U+99D2	駒
uni99D3	U+99D3	駓
uni99D4	U+99D4	駔
uni99D5	U+99D5	駕
uni99D6	U+99D6	駖
